f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16
M,P,L,F,N,F,C,C,H,M,H,F,C,L,F,F
M,A,F,M,H,L,C,I,F,N,I,M,B,F,B,F
I,M,H,H,H,H,M,I,B,M,C,P,H,P,I,F
B,C,C,B,I,M,H,M,H,F,B,P,I,M,I,F
B,C,B,F,B,M,L,B,B,F,P,N,I,L,C,F
K,K,I,I,K,M,M,C,H,F,C,F,K,L,L,F
I,C,B,B,I,N,C,I,C,N,I,M,K,F,B,N
C,L,M,M,I,I,L,H,F,P,P,O,D,F,I,M
H,L,M,M,P,L,F,B,B,C,F,C,C,N,F,M
K,K,I,B,D,P,C,K,M,O,I,F,D,C,D,M
I,F,I,C,D,D,J,H,I,O,P,H,E,F,K,C
C,N,M,F,H,L,M,I,C,P,B,M,K,L,H,L
C,F,F,L,M,M,F,B,M,C,F,M,B,F,N,L
I,C,B,B,I,C,M,H,H,P,F,P,K,L,B,L
M,N,F,F,B,M,M,A,K,M,P,F,L,C,E,F
I,I,B,B,K,M,M,I,J,L,C,F,E,F,F,F
H,P,H,C,B,L,C,I,H,F,H,M,C,L,H,F
I,L,H,M,B,L,I,D,K,M,K,F,K,C,B,M
I,N,B,L,B,P,M,D,M,N,I,M,E,M,D,M
H,P,M,F,B,L,K,I,I,F,D,F,K,M,B,F
I,F,B,H,D,F,G,D,C,C,N,L,E,F,E,F
C,F,M,C,I,I,L,H,F,N,N,L,I,L,K,C
K,M,K,H,D,J,K,C,H,J,D,P,E,M,E,F
B,P,M,M,H,M,H,K,I,H,K,C,I,M,B,B
I,M,H,C,B,M,F,K,B,M,F,L,H,F,I,C
I,I,H,K,I,M,C,I,B,L,M,F,M,H,D,F
K,I,I,K,K,M,F,H,C,M,C,F,I,F,K,F
B,C,C,B,B,M,F,B,F,M,H,M,I,F,H,F
I,C,B,B,K,P,N,K,F,H,N,L,D,N,D,L
H,C,H,B,I,B,L,D,M,P,P,C,D,P,K,B
K,E,I,D,E,M,L,B,K,M,A,F,K,P,E,F
B,L,H,C,B,C,M,F,M,M,C,M,K,F,L,P
I,L,B,M,B,M,N,I,C,M,N,L,K,O,D,F
B,P,C,L,I,F,C,L,C,C,C,F,I,F,H,L
M,A,H,F,I,P,B,H,B,A,I,L,I,F,B,L
K,I,B,K,K,F,M,I,B,L,B,C,K,M,I,L
H,O,H,C,B,C,F,B,C,P,C,C,H,L,C,C
B,C,B,F,I,F,F,C,L,B,H,H,E,F,L,M
O,J,O,F,H,D,P,B,K,N,O,L,F,P,E,M
D,I,I,D,D,C,F,K,M,N,F,L,D,F,I,F
B,C,C,B,H,M,F,H,C,M,H,F,I,F,I,F
C,C,F,C,M,M,P,H,I,M,M,F,C,N,M,F
D,C,K,B,D,M,M,E,M,J,C,F,E,F,D,F
I,H,H,I,I,L,M,I,C,P,H,C,K,F,H,L
I,M,B,H,K,M,P,D,M,C,O,F,D,N,K,F
B,L,C,M,I,C,L,K,C,J,C,M,D,M,D,M
I,H,H,B,I,C,M,D,M,P,M,P,I,F,I,F
I,L,B,M,K,M,C,C,P,H,M,P,E,L,L,F
B,M,H,H,B,M,C,M,H,C,B,M,I,M,I,M
H,M,F,H,H,B,L,K,C,P,L,P,I,F,I,C
B,F,C,C,D,C,F,H,I,F,J,F,I,L,E,F
K,D,I,K,K,H,M,B,C,C,C,P,I,F,B,L
K,M,B,H,K,L,N,I,I,I,N,L,K,P,D,F
B,M,C,C,H,H,L,I,H,F,M,L,B,P,M,M
D,E,K,D,E,M,M,C,H,M,C,F,K,F,I,F
C,P,C,H,B,M,M,B,M,P,H,C,H,L,M,H
C,F,F,M,C,F,B,I,B,L,I,F,B,M,H,F
B,F,H,C,B,M,F,K,L,N,M,F,D,L,C,M
I,C,B,B,K,C,B,I,M,C,K,F,D,C,K,M
F,G,F,L,B,F,F,K,F,L,M,F,B,O,B,M
D,I,K,D,D,M,H,D,M,F,I,P,E,M,K,L
B,M,B,H,K,I,P,I,C,N,O,M,K,N,K,C
B,C,H,B,H,H,M,B,H,M,C,L,H,N,I,F
H,M,C,H,I,F,M,K,L,O,H,P,K,L,C,L
H,N,C,F,H,L,M,H,M,P,B,H,I,F,I,F
I,P,H,M,D,M,P,D,I,M,O,F,D,N,E,F
B,C,C,L,F,C,C,H,I,M,C,C,L,A,C,P
C,M,H,P,B,F,H,H,H,N,C,M,I,L,L,F
K,H,I,B,K,C,F,M,M,F,F,A,D,L,B,P
M,P,L,F,M,M,M,H,C,M,C,M,M,F,I,F
D,E,K,D,D,M,M,M,H,C,C,M,D,F,M,L
I,B,B,I,D,B,O,I,I,L,N,M,K,N,E,F
H,L,F,M,B,P,C,I,H,P,K,H,C,L,D,M
H,L,M,F,M,F,C,B,B,C,M,M,B,F,D,M
B,N,H,F,C,C,F,H,F,F,F,L,D,P,M,F
H,P,H,F,H,M,M,O,D,C,C,F,C,M,D,P
I,B,H,I,I,F,H,I,I,L,C,F,M,H,D,F
B,F,C,C,B,H,A,M,K,O,C,K,D,P,I,F
M,N,P,F,F,H,L,I,C,P,L,F,C,N,H,C
D,E,D,E,D,M,F,C,B,M,C,M,D,F,C,L
I,C,I,B,D,D,E,C,C,E,D,H,E,F,E,F
B,N,B,F,B,C,M,P,M,M,C,M,K,F,L,P
I,L,B,C,I,M,M,C,N,C,C,F,D,F,F,F
I,H,B,B,K,B,B,B,F,K,D,C,E,M,D,C
D,I,K,K,D,P,I,K,D,L,K,L,D,C,D,F
B,L,B,C,K,D,J,H,I,O,L,H,E,F,K,C
B,B,H,C,K,M,M,J,K,B,C,F,C,F,E,F
B,C,C,B,H,F,M,C,I,C,F,F,C,F,I,M
B,C,H,C,B,M,M,B,H,M,C,F,K,L,M,P
B,F,M,C,L,L,H,K,K,F,B,F,P,C,K,C
H,P,C,F,C,M,M,A,D,C,C,F,H,F,E,F
D,D,K,K,D,M,M,N,D,H,C,F,B,F,E,F
I,M,B,L,H,F,M,F,I,H,C,L,I,F,C,P
C,N,C,F,K,I,O,H,C,A,O,C,K,N,K,C
C,P,L,F,L,C,F,I,H,F,M,M,L,F,F,B
B,L,C,C,B,L,M,B,C,L,B,M,I,M,H,P
K,I,I,B,I,F,F,H,K,H,F,P,K,L,H,L
C,P,M,M,H,I,F,H,M,L,F,P,H,F,I,B
K,E,K,E,E,M,H,P,B,M,A,F,I,P,E,F
B,C,H,B,B,F,L,I,H,P,H,H,I,F,H,F
K,I,I,K,D,B,M,B,C,P,L,A,D,L,K,M
I,C,B,B,K,M,M,M,B,L,C,F,I,F,I,F
B,L,H,C,B,C,M,C,H,L,M,N,K,L,B,P
H,M,H,H,K,H,N,K,L,O,L,B,E,P,K,B
B,B,C,I,B,C,C,I,B,P,L,L,M,C,K,L
I,C,B,B,I,C,F,F,B,C,H,M,K,M,H,N
B,F,C,C,H,F,F,B,D,C,L,F,M,N,E,F
K,H,B,B,I,F,F,I,H,P,C,C,I,M,C,L
I,C,B,B,I,C,M,H,M,M,C,P,I,F,H,L
F,J,H,F,B,C,C,C,I,L,M,L,H,L,H,F
B,F,H,M,I,F,M,F,C,C,M,F,I,F,H,L
K,L,H,M,H,P,M,K,H,L,B,H,I,F,C,H
D,D,K,D,D,M,M,M,H,M,C,M,D,F,C,F
I,K,B,B,D,M,H,O,H,M,J,M,I,L,E,F
P,J,N,F,H,A,D,H,I,A,D,L,C,I,D,L
I,L,H,C,B,F,F,F,B,M,F,F,I,F,I,F
K,D,K,D,D,H,P,B,B,P,F,B,E,L,I,M
K,C,I,B,K,M,F,M,H,M,M,M,I,F,I,M
I,H,I,I,K,H,O,H,C,N,L,I,D,P,I,H
I,M,H,B,K,M,B,I,D,M,D,F,K,M,K,F
P,P,L,H,B,H,L,I,K,M,P,F,P,N,D,C
I,B,H,I,K,M,L,K,C,A,C,H,D,L,K,M
I,M,I,H,I,C,F,L,C,C,H,M,K,F,F,L
H,P,C,M,H,C,H,C,M,C,C,P,I,L,B,M
I,H,B,B,I,M,N,I,M,M,N,F,K,N,D,F
H,F,M,C,C,F,C,C,C,L,M,M,I,F,M,F
D,I,K,D,E,L,H,I,H,J,C,N,E,M,E,F
I,F,I,C,D,E,D,H,C,E,E,M,E,F,E,F
B,P,C,M,C,M,M,K,C,M,C,M,B,M,C,M
D,E,D,E,E,M,M,H,M,M,C,A,E,F,B,P
I,M,H,H,B,M,N,K,K,M,F,F,C,N,D,F
C,N,C,F,B,C,P,P,B,M,B,F,I,M,C,P
M,L,L,M,H,F,N,M,B,N,B,I,K,P,B,F
C,P,L,F,M,L,L,H,B,M,H,M,I,L,P,H
C,O,M,M,B,F,M,K,M,N,B,C,B,F,B,M
C,L,F,C,H,P,C,I,F,N,I,M,K,F,H,O
I,B,B,M,I,M,C,L,C,H,C,M,I,F,H,L
D,E,K,D,D,C,M,F,C,M,C,C,K,F,I,F
I,B,H,K,I,F,C,C,B,M,M,L,L,H,K,F
I,K,B,I,K,C,O,I,M,F,N,M,K,N,D,M
B,N,B,F,K,I,M,F,K,C,H,N,B,F,K,N
M,M,M,H,B,K,P,I,I,N,N,F,M,P,K,C
I,I,B,H,K,I,M,C,N,M,C,G,E,F,M,M
K,M,B,H,K,C,N,H,B,P,F,I,D,P,B,C
K,B,I,B,I,F,F,C,I,F,C,L,K,L,B,L
C,N,C,C,B,N,K,B,K,N,B,O,H,I,H,N
K,F,I,C,D,N,H,K,L,O,K,F,E,M,D,F
M,A,C,F,B,L,H,H,H,N,B,L,C,M,M,N
C,N,L,F,P,M,H,H,I,F,F,L,L,L,C,F
H,M,F,H,C,L,M,K,B,L,H,M,M,C,K,F
L,G,L,F,F,F,M,B,H,L,H,M,F,B,P,M
K,M,K,H,K,D,N,I,B,N,N,F,E,F,D,M
I,H,B,C,D,M,M,B,B,M,C,F,I,F,B,F
C,F,C,C,H,B,P,I,I,L,F,M,M,N,K,C
D,I,I,D,D,C,B,D,M,M,K,L,E,M,K,F
H,P,M,M,F,L,M,C,D,M,M,L,P,L,B,C
H,N,M,F,M,F,M,I,H,C,M,C,B,P,N,L
D,E,D,E,E,M,A,D,B,M,P,F,E,F,E,F
M,A,F,M,H,F,M,K,F,N,B,M,B,L,B,M
C,F,L,C,M,F,M,K,H,L,C,F,L,C,K,F
C,L,H,H,K,F,B,B,H,L,K,F,I,C,H,F
H,M,C,H,B,F,F,C,C,C,H,I,F,L,H,M
I,C,B,F,B,F,C,M,H,L,C,M,I,F,H,M
C,C,F,F,L,M,L,I,I,F,F,C,C,N,C,H
I,H,H,B,K,M,P,H,I,N,B,I,D,P,I,F
I,C,B,B,D,M,M,B,B,M,C,F,I,F,B,F
K,E,K,D,E,K,D,C,H,E,K,B,E,F,E,F
K,B,K,I,D,M,M,C,B,L,C,F,K,F,K,F
H,L,M,M,H,P,C,K,L,N,B,F,K,F,H,O
D,I,K,K,D,M,M,D,C,A,C,F,E,F,E,F
L,O,F,C,B,M,M,K,L,L,M,L,B,L,B,M
D,E,D,E,E,F,M,I,B,M,C,F,K,F,B,F
B,H,H,M,I,M,M,G,K,B,C,F,C,F,E,F
B,F,B,C,I,C,M,P,L,M,C,C,I,F,B,F
I,P,H,M,D,F,N,D,I,C,O,F,D,N,E,F
D,E,D,E,E,M,F,P,D,M,C,F,K,F,E,F
K,E,K,E,E,M,G,K,I,M,P,F,E,F,E,F
L,P,L,M,C,I,N,K,I,L,L,F,F,N,K,C
K,I,K,D,K,M,M,H,C,M,C,F,K,F,H,P
H,P,F,F,C,C,H,K,B,B,K,M,C,M,C,B
L,A,F,M,B,C,P,B,H,B,H,P,C,P,K,M
M,A,M,M,H,F,P,I,H,N,H,B,B,L,F,M
B,L,B,B,K,L,C,H,H,N,B,M,H,M,H,N
K,B,I,I,D,L,M,I,C,P,C,M,D,L,H,F
D,E,K,D,E,H,F,F,D,M,C,N,I,F,K,N
C,F,L,C,H,M,H,K,F,P,B,P,H,H,H,L
M,P,M,F,H,I,F,H,M,P,P,J,I,L,B,C
H,L,C,M,H,M,M,H,P,M,C,F,D,F,M,F
H,F,M,M,M,L,F,I,H,F,H,C,I,C,F,F
H,P,C,F,H,F,H,F,H,F,M,F,K,M,B,C
B,L,B,M,I,C,C,L,M,C,C,M,K,F,L,P
K,K,I,I,I,M,M,C,C,M,C,H,K,F,I,M
I,C,B,B,I,F,F,M,B,M,M,F,I,F,K,F
H,C,C,B,I,M,C,K,M,M,C,L,E,L,B,F
I,C,B,B,B,M,M,H,C,M,C,L,I,F,I,F
H,P,C,F,B,M,M,I,C,P,C,F,K,F,H,F
H,L,H,M,B,I,N,K,I,L,N,F,K,N,D,F
L,O,N,M,H,A,K,H,K,O,D,L,M,I,D,L
H,P,C,M,C,C,L,F,B,M,H,F,K,M,H,N
H,P,M,M,C,F,F,F,H,H,M,L,I,M,B,M
I,D,B,K,K,H,P,B,B,P,F,B,D,P,I,M
K,H,B,I,K,M,M,I,L,C,C,F,K,F,C,F
H,M,M,H,C,M,F,H,H,M,C,F,B,N,L,P
H,N,M,L,C,F,B,E,M,L,I,P,D,C,K,L
B,N,H,F,B,M,M,L,H,M,C,F,I,F,I,F
B,F,H,C,B,F,I,D,K,C,K,F,K,C,K,C
D,E,D,E,E,M,M,I,B,M,C,F,K,F,I,F
D,D,K,D,E,C,M,C,L,M,C,G,E,F,B,P
B,L,B,B,I,M,M,I,K,F,H,M,I,P,F,M
B,C,C,H,C,F,B,B,B,M,B,P,H,C,M,M
H,F,H,C,B,M,M,F,H,P,M,F,I,F,B,F
M,L,M,B,I,F,F,B,H,F,H,M,C,M,B,F
B,N,C,F,I,L,I,I,I,F,D,L,I,C,I,L
I,C,B,B,B,C,F,H,B,M,H,L,I,P,F,P
H,F,L,C,C,M,H,K,B,C,D,C,H,M,H,C
I,B,H,I,K,F,L,K,M,A,H,H,K,L,I,F
F,O,C,M,I,F,F,H,B,O,B,C,H,L,B,F
I,B,B,C,K,M,F,F,M,H,M,F,K,M,C,N
K,B,B,I,K,F,M,K,L,O,C,M,D,F,H,F
H,P,M,F,M,C,L,C,H,L,M,B,K,P,B,M
K,C,K,B,K,I,A,H,D,N,M,B,E,L,K,M
K,P,K,M,K,M,M,E,F,M,C,F,E,F,I,F
B,M,H,H,H,C,F,H,I,M,H,F,B,C,M,P
D,E,K,D,E,F,B,K,E,M,K,F,K,M,D,F
B,H,C,M,B,N,B,B,H,P,I,L,K,M,C,P
C,L,L,C,H,H,M,K,F,P,L,N,B,M,B,M
D,D,K,D,E,M,P,K,K,M,O,F,D,N,E,F
I,L,H,M,I,O,I,I,I,P,D,L,K,C,K,F
M,N,M,F,B,K,O,K,I,L,N,F,K,P,D,M
C,L,F,F,F,H,L,B,C,C,C,N,B,N,F,L
F,A,F,M,H,O,B,I,C,P,I,M,I,L,C,A
H,P,M,F,B,B,L,K,F,P,O,L,I,L,B,H
B,M,H,H,B,L,M,H,I,M,H,M,I,F,L,H
D,D,K,D,D,M,M,N,D,H,C,F,B,F,E,F
B,H,H,B,I,C,N,K,F,N,L,H,I,P,B,B
B,L,H,C,I,M,M,O,D,M,L,F,F,C,E,F
I,L,H,M,I,B,F,M,M,L,L,J,K,L,B,L
D,I,K,K,E,M,M,D,M,A,C,F,E,F,D,F
K,K,I,B,K,B,B,B,M,K,D,C,E,M,D,C
B,F,H,M,H,M,C,B,H,M,M,F,B,L,L,N
B,C,C,B,B,P,N,I,K,H,L,M,C,N,D,F
F,A,C,F,I,L,I,B,H,L,K,L,B,C,H,L
C,G,C,F,B,H,M,B,C,O,L,O,I,F,M,M
K,I,I,K,D,L,K,K,D,F,K,P,D,C,K,F
I,L,B,C,K,M,M,B,J,P,C,F,E,F,F,F
I,L,C,M,B,O,I,K,K,L,K,L,K,C,K,F
H,F,M,M,M,M,L,H,H,M,M,P,H,L,L,P
M,N,P,F,H,F,N,M,I,N,B,K,K,N,B,L
K,C,I,B,D,J,D,C,H,J,K,N,E,M,E,F
M,N,L,F,M,M,M,H,C,M,C,F,M,F,I,M
C,P,M,M,H,H,M,C,H,L,F,N,K,F,B,P
M,P,L,F,F,F,C,C,H,C,F,F,L,C,K,M
M,N,L,F,L,F,M,H,H,M,C,M,M,C,L,J
H,N,M,F,B,C,N,K,C,A,M,B,D,P,K,M
B,H,H,M,I,H,P,L,B,M,B,F,I,M,C,N
K,B,B,I,K,C,M,K,C,P,M,P,I,F,K,F
B,P,H,M,K,M,M,H,B,M,C,F,I,F,B,F
B,F,H,C,H,F,N,C,H,C,H,M,I,L,C,B
K,B,B,I,D,F,F,D,C,J,H,M,E,M,E,F
I,M,B,H,I,C,F,H,L,M,M,L,D,L,M,M
K,K,B,B,K,F,K,D,K,M,K,F,K,M,I,M
K,I,B,K,D,C,P,K,H,A,C,B,D,L,D,M
K,B,B,C,D,M,J,E,C,F,N,F,E,F,E,F
B,F,C,C,B,C,C,C,C,M,H,N,I,P,B,L
I,M,I,B,K,B,P,L,I,L,C,H,K,P,I,F
H,F,M,C,H,C,M,D,C,P,M,P,I,F,I,F
B,C,H,H,B,F,H,B,B,L,B,P,I,M,H,M
C,N,F,F,O,F,M,H,B,M,M,M,F,P,P,P
D,E,D,E,E,F,M,C,B,M,C,F,K,F,K,F
C,P,H,C,I,M,L,B,H,B,H,P,H,P,K,M
B,H,H,B,K,B,A,B,B,P,N,M,I,P,D,F
I,K,B,I,I,F,M,F,H,M,C,F,K,F,I,F
I,I,B,K,I,L,C,C,B,C,M,C,M,C,K,C
M,P,L,F,H,C,F,K,F,M,C,P,E,M,B,F
F,A,M,M,B,C,P,I,M,O,M,C,I,L,H,B
I,H,C,I,K,L,K,K,K,F,K,P,I,M,K,F
H,P,M,F,M,F,F,B,C,F,B,F,B,H,H,N
D,E,D,D,E,M,M,L,E,C,C,F,B,F,E,F
D,I,K,K,D,N,C,K,C,N,I,M,E,M,E,F
I,H,C,B,B,L,M,I,H,L,B,C,I,M,B,P
I,C,H,H,H,L,F,H,H,M,C,F,H,F,L,N
M,N,C,C,I,L,N,H,B,B,C,P,C,P,K,C
C,M,C,H,I,B,A,B,C,O,L,B,D,N,K,B
I,H,B,I,I,M,M,M,B,L,H,F,K,F,I,M
B,M,H,H,B,M,M,M,C,C,M,L,I,P,C,M
C,P,H,H,B,L,C,B,C,N,H,M,B,M,L,P
K,H,B,B,K,M,F,K,P,O,M,M,D,F,H,C
B,C,H,B,K,M,N,I,I,F,N,F,I,P,I,F
K,M,B,H,K,F,B,K,D,M,D,F,K,C,D,F
B,L,H,M,B,L,N,I,M,H,N,F,K,O,D,F
I,F,B,C,B,C,P,M,I,M,B,L,K,M,H,N
C,N,F,F,M,L,M,B,M,P,B,C,I,F,C,P
M,L,L,F,L,P,F,B,M,M,M,F,H,L,L,N
B,L,C,M,M,F,M,K,F,M,C,F,E,F,L,F
B,F,H,C,C,F,M,M,C,M,C,H,K,F,M,L
I,M,H,H,I,F,O,K,I,H,P,L,B,O,I,M
C,P,C,H,B,L,C,I,C,N,K,F,H,C,B,L
B,C,C,B,I,C,F,B,D,M,F,F,F,L,E,F
H,N,M,F,L,M,L,B,K,F,F,F,H,L,M,C
I,H,B,B,K,H,P,I,H,P,L,H,D,P,I,C
I,B,I,I,K,F,F,C,H,M,C,M,K,F,L,F
I,C,H,H,B,M,F,I,H,M,C,F,I,L,M,N
D,D,D,K,D,M,M,D,M,M,C,F,E,F,K,F
C,N,H,C,K,H,P,K,M,A,M,H,K,F,B,B
B,L,C,C,K,L,H,I,D,F,D,F,K,M,K,F
H,F,F,C,B,C,F,D,F,P,L,L,K,L,I,M
I,F,B,C,H,F,M,F,H,M,C,C,I,F,M,P
I,K,H,I,K,M,O,K,I,C,N,L,I,N,D,M
D,B,E,H,E,M,M,B,B,M,C,F,E,F,E,F
B,F,H,C,B,M,M,B,F,N,F,L,K,L,H,M
H,H,C,F,I,M,C,F,F,C,C,P,K,F,C,N
I,M,B,H,B,F,M,B,F,M,M,F,K,F,C,P
C,L,C,B,I,F,H,B,H,L,B,M,B,M,H,P
B,M,C,P,L,F,N,H,E,L,M,C,B,P,H,F
B,M,C,H,I,M,F,K,P,O,C,F,D,L,C,F
I,B,H,C,B,M,B,H,K,C,B,C,B,C,M,M
H,P,H,F,C,M,M,A,D,C,C,F,H,L,E,M
H,P,F,M,B,F,P,D,M,B,N,L,K,O,I,F
C,P,L,F,J,L,M,H,K,M,C,F,N,N,B,F
B,H,H,B,K,B,O,I,I,P,N,M,K,P,D,F
C,L,C,B,I,M,M,B,B,L,F,C,B,P,B,B
I,I,B,B,I,F,M,C,I,F,C,L,K,L,I,L
C,F,M,M,M,C,M,H,H,C,C,N,M,P,L,F
F,A,M,F,I,M,F,I,L,A,H,C,K,L,H,H
C,N,H,C,I,H,N,H,B,A,C,B,I,L,B,F
B,C,C,B,I,L,C,K,C,P,I,F,B,F,B,N
B,C,C,B,H,M,F,H,B,C,C,F,B,M,M,M
B,L,M,M,B,L,I,K,I,C,D,M,K,C,K,M
B,F,C,C,H,F,F,F,H,C,M,L,I,F,B,C
I,H,C,B,K,L,K,K,K,F,D,F,K,C,K,M
C,N,C,F,I,I,P,I,M,O,O,M,D,N,I,H
K,I,I,K,D,H,F,B,M,P,F,F,I,L,K,C
B,H,B,F,K,M,B,G,C,M,O,F,I,L,E,F
M,O,H,M,B,M,M,B,I,L,L,N,B,P,L,N
B,H,H,M,I,L,M,F,C,C,C,P,I,F,H,L
K,H,B,B,K,M,F,K,L,N,C,F,D,F,C,F
K,E,K,D,E,K,E,C,B,E,I,B,E,F,E,F
C,L,F,F,L,M,M,H,B,M,M,P,L,O,N,O
B,F,M,M,M,C,F,B,I,C,H,L,F,M,C,L
H,H,H,C,H,F,M,C,K,F,C,N,I,L,C,F
D,I,K,D,D,F,M,C,B,M,C,F,K,F,K,F
C,P,F,F,L,M,L,C,B,M,L,M,M,M,H,P
D,D,K,D,E,F,L,B,K,M,A,F,K,P,E,F
K,D,B,K,D,M,N,D,M,M,N,F,D,N,K,F
D,E,D,E,E,F,M,K,L,F,C,F,E,F,H,F
K,E,K,D,D,M,F,M,H,M,C,M,D,F,M,F
C,N,C,C,B,C,P,I,B,N,C,B,B,P,F,C
K,B,B,I,K,N,K,K,K,L,K,L,K,C,D,F
C,P,C,F,C,M,C,A,K,M,F,F,I,L,E,F
K,B,B,K,K,L,C,B,C,N,B,C,K,F,I,F
B,P,H,M,I,H,I,M,M,K,K,B,D,C,D,H
H,H,M,M,F,L,M,C,I,M,M,F,C,P,C,H
K,B,B,K,K,P,K,K,K,L,K,F,K,C,K,F
B,F,B,C,I,D,A,B,I,O,P,C,E,F,K,C
B,B,C,C,C,L,P,H,B,C,M,M,H,P,M,H
H,M,M,H,H,C,M,C,M,M,C,F,C,F,I,F
B,P,H,F,I,H,B,I,F,H,D,M,D,C,I,C
K,B,I,H,D,D,A,B,B,O,N,M,E,F,K,C
M,N,L,F,M,L,F,C,C,F,H,M,B,F,C,O
I,M,H,H,D,F,F,B,K,M,J,F,I,P,E,F
I,C,H,B,H,M,F,I,B,C,C,L,C,F,M,C
B,L,C,M,B,M,P,B,H,O,H,I,D,P,B,F
C,C,H,L,I,M,L,K,K,M,P,H,B,P,H,C
H,C,I,L,I,F,F,I,I,O,H,H,I,F,C,P
I,F,H,C,K,M,F,F,M,M,M,F,I,F,B,F
H,C,H,F,H,F,B,C,H,P,H,P,B,M,C,M
H,P,M,M,H,C,F,F,H,H,C,O,H,L,M,I
K,B,B,I,K,M,I,K,M,F,K,P,E,M,K,F
B,C,H,M,B,L,F,H,C,M,H,F,I,L,F,L
B,C,H,B,C,F,C,B,K,C,C,L,C,F,C,N
I,H,B,B,I,L,O,B,H,H,N,L,K,O,D,F
H,P,M,M,H,M,L,B,C,H,F,P,C,P,D,M
H,H,C,B,B,F,C,C,H,C,M,M,P,C,B,C
C,N,C,C,I,F,B,I,H,O,M,O,I,F,C,L
M,N,H,C,I,M,L,C,H,L,H,C,B,L,H,F
B,L,C,M,C,L,M,I,C,M,B,H,C,C,L,F
I,M,H,H,M,F,L,B,B,M,C,M,K,M,F,D
I,M,H,H,B,F,L,F,H,B,M,N,I,M,I,M
B,C,C,L,L,L,M,C,D,M,C,L,P,L,H,M
L,J,F,F,H,C,H,H,H,C,F,L,C,F,B,L
B,P,H,F,K,H,M,M,P,M,H,A,D,L,B,F
B,H,C,M,B,N,B,B,B,P,I,L,K,M,H,P
K,B,I,K,K,H,P,B,B,P,F,B,D,P,I,M
K,I,I,K,K,F,F,I,B,L,H,M,K,M,I,L
I,L,H,C,D,M,P,I,K,M,A,F,K,N,E,F
C,N,F,F,M,L,F,B,H,L,B,M,I,M,B,N
D,E,K,E,E,M,C,P,B,M,A,F,K,P,E,F
D,D,K,K,D,M,M,B,F,C,C,F,D,F,C,F
B,B,B,C,K,M,M,B,J,L,C,F,E,F,F,F
H,L,H,H,I,L,C,B,C,P,H,M,I,F,L,L
B,P,C,M,D,L,P,I,K,C,A,F,K,N,E,F
B,F,C,C,B,H,C,D,M,P,L,N,B,M,B,M
I,B,B,I,I,M,M,C,M,M,C,H,K,F,I,M
H,B,H,C,K,B,L,F,K,M,B,N,B,F,I,P
I,H,H,B,I,F,M,K,M,N,H,F,K,L,H,P
I,L,B,M,K,E,K,B,C,D,E,F,E,F,E,F
K,K,B,I,K,C,C,C,C,M,C,N,K,L,B,L
B,M,H,H,H,M,M,M,B,C,C,L,K,F,M,B
K,C,B,B,K,C,O,I,M,F,N,F,D,N,D,M
I,B,B,H,I,F,M,C,K,F,M,P,I,F,H,F
I,M,H,H,M,L,H,H,K,M,C,F,H,P,K,H
B,L,C,C,H,C,C,I,M,C,C,L,I,F,H,P
B,L,C,C,B,H,P,K,F,P,L,C,B,P,B,C
I,C,B,B,D,M,M,C,K,M,C,F,I,F,B,F
H,N,H,F,I,H,M,N,L,C,C,H,I,F,B,F
H,L,M,F,M,M,C,B,B,C,M,F,B,F,D,F
B,C,C,H,H,F,F,I,H,M,F,M,H,P,B,C
D,D,D,I,D,F,M,D,M,M,C,M,E,F,K,M
H,M,H,H,B,I,N,K,K,P,F,M,H,N,K,C
D,H,I,B,D,L,C,I,C,J,H,P,E,M,E,M
C,N,M,F,I,H,M,M,N,M,C,O,D,L,B,F
K,I,I,K,D,H,F,H,C,N,L,L,I,L,D,C
F,G,C,F,B,H,M,C,I,P,M,L,H,L,H,F
K,I,B,K,K,C,F,I,I,P,M,F,B,F,E,M
K,M,B,H,K,F,I,K,K,M,D,F,K,C,K,M
I,C,H,H,H,C,L,C,C,F,M,M,H,L,M,F
I,M,I,H,K,I,M,C,P,M,C,G,E,F,M,M
B,P,H,M,B,H,C,C,H,L,F,N,K,L,B,P
H,H,C,F,K,F,H,J,H,C,G,F,I,L,E,F
B,F,H,C,K,H,I,D,L,C,D,P,E,M,K,M
M,G,C,F,I,P,K,I,H,A,B,O,K,F,H,P
C,C,C,F,I,M,F,G,E,M,H,F,I,F,E,F
K,I,I,K,D,C,F,K,F,N,F,F,D,F,B,M
I,B,B,I,D,B,O,I,I,P,N,M,K,N,D,F
B,N,H,F,B,M,M,F,M,F,H,M,K,M,L,F
K,P,B,M,D,M,J,E,C,M,N,F,E,F,E,F
H,L,M,M,C,P,L,C,B,M,H,F,I,F,P,M
B,H,H,F,K,M,M,B,J,P,C,F,E,F,F,F
I,P,B,F,K,M,M,E,F,A,C,F,E,F,D,F
I,F,H,C,F,M,H,C,K,M,C,F,F,O,I,P
D,I,I,K,D,F,L,K,H,A,H,H,D,L,K,L
I,H,H,C,I,P,I,K,C,M,I,C,D,F,M,M
I,C,H,B,K,M,N,D,M,M,N,F,D,N,K,F
B,L,C,C,F,M,M,C,I,M,C,M,F,M,L,L
B,B,H,I,K,B,O,I,I,P,N,M,K,P,E,F
B,C,C,F,B,O,B,I,H,N,K,F,K,M,H,O
